"HolderAddress","Balance","PendingBalanceUpdate"
"0x6aae8974a7a16aa1e7581e9210545eb34b7089c2","301.16689124","No"
"0xe843f308bb781a32a86039bd561a204816a31a09","298.07006369","No"
"0xc8dc4094bb516af92cff97ad0e7b2ea5473e8ac0","291.19946437","No"
"0x8981b57c4f641af465694838bbaba1e3d5e47f9d","290.74453","No"
"0x8c2f84912dc454b87b12383ddbe0c476299654fd","285.66855454","No"
"0xd230ad91ddc417ac1e0e7f7ff55d3f9606c11135","284.13693773","No"
"0xac7ac6b65ade0cf25fb7c8b032b5d826f5f6c856","277.49851631","No"
"0x65cbc8aa675e7e339e374568746b6d40e87ba084","267.02677972","No"
"0xcd2ec6bd08ca81c4c9454d8f95287a0f96ba51b0","266.94001702","No"
"0x48441fb97f000f376cc0c568103b48c439b5b004","266.8761881","No"
"0x88f3bb613660286787592dd1dc922bd65115c190","266.3825253","No"
"0x5bf673cc27b93aa18021faada946af3e09e814cf","264.13316166","No"
"0x2eb7e5843e646e9a00f31b3e88e4a2cef3a1a054","257.96472969","No"
"0xeb3d7fba376fa5e404c8ad87ba62dcf4f88f3c66","250.3675966","No"
"0x3b9ec549703cdd8e792f9398a2200fc8be934ded","250","No"
"0x150d6dede32d6a0b2d585cbe16147fccef518522","248.6200008","No"
"0x5413c3fa1d7c0b0c5675bc5a970c03af0cd1e0e3","245.71150097","No"
"0xa5d91cff5b17d94e2ee8abc20ef54780a1192959","245.21478246","No"
"0xf0bf45b22e043c1497c9f15537b82e27686d9764","239.18834318","No"
"0xb05e3b1b777868bf6f0180626b2b4f45fece556c","238.70549297","No"
"0x26a4a3adf5be3126ea805665a62ff88a085351fc","236.95780596","No"
"0xb96c9f5e9bc953422c88e810881239844857a0a6","236.07176581","No"
"0xc3ebf35731d5156b64a2dbde9c6de5e41f3eb6b6","234.49594263","No"
"0x4c63d150c8a278ee32f37d6ca59c65fdb0275ecc","229.83316806","No"
"0xcc9994db5972d8140344243c1c29b86ca7999441","227.48000477","No"
"0xadaf0da2f42bf54e2ccf455f795a04ecd744138b","226.41470961","No"
"0x454ad7269b3e3370b929b24a1b290c5f25652e5d","224.82086557","No"
"0x3a4377d108d35d51b490415758f8eade0fcd0d59","222.87012843","No"
"0x6f566ddbf70dee639ee6d2df3fb56bdb77e23e7e","222.32717754","No"
"0x7d2b79c9cd311a05e721c966f011da0089ff5567","219.73729185","No"
"0xd940a9c3c3cbcc1f90cf69646bcac4cefcbb4a33","211.50787156","No"
"0xdc6a4e61d550037a549e567e6a1e18519ce84b3c","210.37868162","No"
