Txhash,Blockno,UnixTimestamp,DateTime,From,To,Quantity,Method,block_timestamp,Date,Open,High,Low,Close,Volume,Market Cap
0xc756a457e4a436a500343c1a8caee81b52213491323b036f2c63b9f384816d7c,12473089,1621537861,2021-05-20 19:11:01,0x74dec05e5b894b0efec69cdf6316971802a2f9a1,0xa1a01666b044a7636671e86cd8f621bb23aea8a7,994.23577768,Transfer,1621461600,May-20-2021,1.71,1.73,1.5,1.58,12189.889823143632,644390741.9105153
0x9eeb30ba8f4e27aa55e07a767bec59847dc690711b9894433c64434f33f8d0cf,12473112,1621538183,2021-05-20 19:16:23,0xa1a01666b044a7636671e86cd8f621bb23aea8a7,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,994.23577768,Sweep,1621461600,May-20-2021,1.71,1.73,1.5,1.58,12189.889823143632,644390741.9105153
0x655e6abbd4fa03545d0fe3ef69bef66e5db625244c187d69604f7d5f57bc54f7,12474074,1621550994,2021-05-20 22:49:54,0x744f25650af7cd016df7221bd07647ca25dfc2f3,0x74de5d4fcbf63e00296fd95d33236b9794016631,334.40031983,Swap,1621461600,May-20-2021,1.71,1.73,1.5,1.58,12189.889823143632,644390741.9105153
0xb63005eec42afb5009e7cf0b5c96ecc61a0221bc3b1585b6aa8b239e6c985e3b,12477089,1621591790,2021-05-21 10:09:50,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x945dd0eaca3ca61a60cf61ec7939466d673a75b0,"1,319",Transfer,1621548000,May-21-2021,1.58,1.59,1.44,1.51,14699.257250478318,603336908.4205809
0xbbea6cd9ea287850684894909c6761279dfa879c24abd6379df4900b8c57dfe0,12480667,1621639986,2021-05-21 23:33:06,0x74dec05e5b894b0efec69cdf6316971802a2f9a1,0xf158069330eb58adb8d02590fb1b6f6e3b8e0c9d,"1,086.0736216",Transfer,1621548000,May-21-2021,1.58,1.59,1.44,1.51,14699.257250478318,603336908.4205809
0xf82df7f6adc4f231acbb87dbe12655d59eff0e69ce4bf9269c02c604330974bf,12480715,1621640698,2021-05-21 23:44:58,0xf158069330eb58adb8d02590fb1b6f6e3b8e0c9d,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,"1,086.0736216",Transfer,1621548000,May-21-2021,1.58,1.59,1.44,1.51,14699.257250478318,603336908.4205809
0x37814a26c0fff16caef6c3dfda57ba11b33075a0f81509d87e6a84811a21be9a,12482846,1621669563,2021-05-22 07:46:03,0x59a5208b32e627891c389ebafc644145224006e8,0x9652b6a35a516154cdf1ff31cb3af0d0534e8658,942.5,Transfer,1621634400,May-22-2021,1.51,1.51,1.33,1.35,36524.32579431924,552686707.5305998
0x04cd016f43c35630ab05097123fcb96f836a294177b5b5c04e83caa9fa4dd2d2,12482860,1621669758,2021-05-22 07:49:18,0x9652b6a35a516154cdf1ff31cb3af0d0534e8658,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,942.5,Sweep,1621634400,May-22-2021,1.51,1.51,1.33,1.35,36524.32579431924,552686707.5305998
0x027801049d618e49e716a1e679801cd19e52d6a290eda2ba3b3132680dd50efa,12483485,1621678363,2021-05-22 10:12:43,0xa12431d0b9db640034b0cdfceef9cce161e62be4,0x59a5208b32e627891c389ebafc644145224006e8,"5,000",Transfer,1621634400,May-22-2021,1.51,1.51,1.33,1.35,36524.32579431924,552686707.5305998
0x0a3d0671547e77e51ae8c57c956de805a22897143a18b4230aacd214a5a4e458,12483655,1621680649,2021-05-22 10:50:49,0x74dec05e5b894b0efec69cdf6316971802a2f9a1,0xf158069330eb58adb8d02590fb1b6f6e3b8e0c9d,"1,158.06115116",Transfer,1621634400,May-22-2021,1.51,1.51,1.33,1.35,36524.32579431924,552686707.5305998
0xcbb0800a637df124a88bad8a46322f13d5a20394aa53897a12c64d3e6035c7d5,12483681,1621680929,2021-05-22 10:55:29,0xf158069330eb58adb8d02590fb1b6f6e3b8e0c9d,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,"1,158.06115116",Transfer,1621634400,May-22-2021,1.51,1.51,1.33,1.35,36524.32579431924,552686707.5305998
0x9cb429de04c711b534c503465b22824830530b4c2f0850ef43ac3e6cb6f61723,12484148,1621687098,2021-05-22 12:38:18,0x74dec05e5b894b0efec69cdf6316971802a2f9a1,0xa1a01666b044a7636671e86cd8f621bb23aea8a7,462.91941144,Transfer,1621634400,May-22-2021,1.51,1.51,1.33,1.35,36524.32579431924,552686707.5305998
0xfac5b0bceea2d6be2fbf2a1619c6a5b0fb1270666113a0d9e80f1646ebf59aa6,12484166,1621687243,2021-05-22 12:40:43,0xa1a01666b044a7636671e86cd8f621bb23aea8a7,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,462.91941144,Sweep,1621634400,May-22-2021,1.51,1.51,1.33,1.35,36524.32579431924,552686707.5305998
0x14c3f8d43c31b8b28d77a80ceb3d19561d2ad43d5c7dbbc08f9bb0e4e3e6e97e,12486501,1621718325,2021-05-22 21:18:45,0x74dec05e5b894b0efec69cdf6316971802a2f9a1,0xa1a01666b044a7636671e86cd8f621bb23aea8a7,796.52423478,Transfer,1621634400,May-22-2021,1.51,1.51,1.33,1.35,36524.32579431924,552686707.5305998
0x1060d1e3b11ee2ac0cebe806f3642a7c0a92a394ce53d36e58e2f916f159492e,12486520,1621718621,2021-05-22 21:23:41,0xa1a01666b044a7636671e86cd8f621bb23aea8a7,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,796.52423478,Sweep,1621634400,May-22-2021,1.51,1.51,1.33,1.35,36524.32579431924,552686707.5305998
0x5f141a97fc3596b2f7e0aec60c374d9b9d58f5caf89003426315976f154fdc22,12486796,1621722165,2021-05-22 22:22:45,0x74dec05e5b894b0efec69cdf6316971802a2f9a1,0xa1a01666b044a7636671e86cd8f621bb23aea8a7,"1,311.46931126",Transfer,1621634400,May-22-2021,1.51,1.51,1.33,1.35,36524.32579431924,552686707.5305998
0x78243547340c812ad9ffa891727116ee9dfec6c66bbed77e8321239084014707,12486814,1621722370,2021-05-22 22:26:10,0xa1a01666b044a7636671e86cd8f621bb23aea8a7,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,"1,311.46931126",Sweep,1621634400,May-22-2021,1.51,1.51,1.33,1.35,36524.32579431924,552686707.5305998
0xab698f1f92d3b890ad4c4e147a948529d1ef2bc01892627b7f4beb6d9e049fdc,12486955,1621724291,2021-05-22 22:58:11,0x74dec05e5b894b0efec69cdf6316971802a2f9a1,0xa1a01666b044a7636671e86cd8f621bb23aea8a7,"1,447.6278309",Transfer,1621634400,May-22-2021,1.51,1.51,1.33,1.35,36524.32579431924,552686707.5305998
0x8976d99ecb35ad3e154f9aa02f57cbeac3347bc3d2902e75f0faf0362e0cf699,12486978,1621724613,2021-05-22 23:03:33,0xa1a01666b044a7636671e86cd8f621bb23aea8a7,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,"1,447.6278309",Sweep,1621634400,May-22-2021,1.51,1.51,1.33,1.35,36524.32579431924,552686707.5305998
0x47d860012202686829b7c0c12af80f79e256ae83d3fd2af7a304c4a0f12d5549,12488058,1621739165,2021-05-23 03:06:05,0x59a5208b32e627891c389ebafc644145224006e8,0x9652b6a35a516154cdf1ff31cb3af0d0534e8658,"1,522.5",Transfer,1621720800,May-23-2021,1.35,1.41,1.33,1.41,30234.219313226746,537437519.5597202
0x1f9dbeecfdd4bc68a4ba8e29a9eaaec169267de69fbfa6d0a959717af259c6fc,12488082,1621739519,2021-05-23 03:11:59,0x9652b6a35a516154cdf1ff31cb3af0d0534e8658,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,"1,522.5",Sweep,1621720800,May-23-2021,1.35,1.41,1.33,1.41,30234.219313226746,537437519.5597202
0xdfc24724c1b19cad30cd5fe4005d86ce6b4d02d49332be960b090e5cf2f9da81,12489044,1621752105,2021-05-23 06:41:45,0x59a5208b32e627891c389ebafc644145224006e8,0x9652b6a35a516154cdf1ff31cb3af0d0534e8658,815.5,Transfer,1621720800,May-23-2021,1.35,1.41,1.33,1.41,30234.219313226746,537437519.5597202
0xa489165d85f89fe40ddb35dfbd386e734343516a48b7ca031e764f4e1003deb7,12489068,1621752478,2021-05-23 06:47:58,0x9652b6a35a516154cdf1ff31cb3af0d0534e8658,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,815.5,Sweep,1621720800,May-23-2021,1.35,1.41,1.33,1.41,30234.219313226746,537437519.5597202
0x6412bde6b8efae7f767d3a2ff860319fd6103cc3af4951641d0b85d2e0f2b8eb,12489378,1621756616,2021-05-23 07:56:56,0xa12431d0b9db640034b0cdfceef9cce161e62be4,0x59a5208b32e627891c389ebafc644145224006e8,"7,100",Transfer,1621720800,May-23-2021,1.35,1.41,1.33,1.41,30234.219313226746,537437519.5597202
0x5c58b8caf7dae4a1e48669eb9a273929ac87b06f158eefa392006d02591fd7eb,12489382,1621756686,2021-05-23 07:58:06,0x59a5208b32e627891c389ebafc644145224006e8,0x9652b6a35a516154cdf1ff31cb3af0d0534e8658,885.5,Transfer,1621720800,May-23-2021,1.35,1.41,1.33,1.41,30234.219313226746,537437519.5597202
0x3447fc3167fdf26e43aaea99d6a8168115506382a65adcdb6522d48f08d9b3e1,12489435,1621757434,2021-05-23 08:10:34,0x9652b6a35a516154cdf1ff31cb3af0d0534e8658,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,885.5,Sweep,1621720800,May-23-2021,1.35,1.41,1.33,1.41,30234.219313226746,537437519.5597202
0x73caf319fd3ebdee39af32eaa37645e0be4350287cdc70955ac7175ee9a06a57,12489680,1621760923,2021-05-23 09:08:43,0x59a5208b32e627891c389ebafc644145224006e8,0x9652b6a35a516154cdf1ff31cb3af0d0534e8658,884.5,Transfer,1621720800,May-23-2021,1.35,1.41,1.33,1.41,30234.219313226746,537437519.5597202
0x10043b636941fda254f41b5a00568dd3ae73bdf5b75160372523a3c66f872373,12489701,1621761251,2021-05-23 09:14:11,0x9652b6a35a516154cdf1ff31cb3af0d0534e8658,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,884.5,Sweep,1621720800,May-23-2021,1.35,1.41,1.33,1.41,30234.219313226746,537437519.5597202
0x1bc40d07b330c042c8d8954792ffe94589aab04bb2bc4482c0257741422472ea,12490413,1621771323,2021-05-23 12:02:03,0x74dec05e5b894b0efec69cdf6316971802a2f9a1,0x2406317413f5d5811f3b84990b29a01caff6c793,"1,929.09059034",Transfer,1621720800,May-23-2021,1.35,1.41,1.33,1.41,30234.219313226746,537437519.5597202
0x1c39ff19c0b31e6c697ab94826a135b95a6f09631e430a0a804ec247ed27d86f,12490452,1621772010,2021-05-23 12:13:30,0x2406317413f5d5811f3b84990b29a01caff6c793,0x744f25650af7cd016df7221bd07647ca25dfc2f3,160,Swap Exact Tokens For Tokens,1621720800,May-23-2021,1.35,1.41,1.33,1.41,30234.219313226746,537437519.5597202
0x39ab0a91c56d8a04f499e7f07b77e4d67ec482680345868668fdbd3718a51bcf,12490471,1621772196,2021-05-23 12:16:36,0x2406317413f5d5811f3b84990b29a01caff6c793,0x744f25650af7cd016df7221bd07647ca25dfc2f3,187,Swap Exact Tokens For Tokens,1621720800,May-23-2021,1.35,1.41,1.33,1.41,30234.219313226746,537437519.5597202
0x12fd16cba478947a421d9829026fa865a7ad99b66ddabdcb04914d04890733a8,12491080,1621779801,2021-05-23 14:23:21,0x59a5208b32e627891c389ebafc644145224006e8,0x9652b6a35a516154cdf1ff31cb3af0d0534e8658,"2,005.5",Transfer,1621720800,May-23-2021,1.35,1.41,1.33,1.41,30234.219313226746,537437519.5597202
0x0ef91607c69f5c7eeb606fb2476060668e5728be2cf16c9a77f876f01144a483,12491112,1621780283,2021-05-23 14:31:23,0x9652b6a35a516154cdf1ff31cb3af0d0534e8658,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,"2,005.5",Sweep,1621720800,May-23-2021,1.35,1.41,1.33,1.41,30234.219313226746,537437519.5597202
