address,in_degree,out_degree,total_degree
0x1f1875d89ba6aa0a5e634385b70b3ddb8fc8cc15,1,1,2
0x418740e19536785a1fa344fbde300114e65cd301,1,3,4
0x7487ed05aa4c93f4a84ab4e438a6008bbc00c6d0,1,1,2
0x630875c9c07edf2ebd53204149a560bfc3a4f972,1,1,2
0x98686081aaf307975fa7b8ec6bd964169f725fe0,1,1,2
0x18855729a9d350ce47005fd94e070fe349500b02,1,1,2
0x68368fdd91b7a92295dd97dff17416006ccf9a3d,3,4,7
0x87f405d3e8c48e9a9622b78e78c7342f84b76c20,2,2,4
0xeca5cfaaf634b9abe1d2160370b4f8c7972bc702,1,1,2
0x36538b1f58d55e656263df559384bbd6b8aeeb56,1,1,2
0x92d2b517316497be300095ae6cdeff9a930250e7,1,2,3
0x744f25650af7cd016df7221bd07647ca25dfc2f3,126,147,273
0x46ab3bb8e34e2620104d7508573a83e733ab639d,1,1,2
0x3630cd20d378756c7a002ca6feca6f27d32a0c1d,1,1,2
0xaa05751354b80dedbd6a29220e64376759aa99b7,3,1,4
0x93962430ec66605939b9a396ab4ba1c7434cb0a2,1,1,2
0x629372dd1711ec0d45074fb0dd740a96a33ccfc7,1,2,3
0x8f135ef702b18b35c182b4f121f05aab21838a50,1,1,2
0x187efb9b77a1a73d482ece049b4aa4db07a2bc08,1,1,2
0x1c481b6caf08e7749b1c151d5c03c417f7861622,1,1,2
0xbadffcb79efe57e954fd79621b29b0c2dc170171,2,2,4
0x72d3dd9b5a1c2771543365354e2b6713c6e28bee,1,1,2
0xea606aa88ad25e464df413c860703d23d60ab53a,1,1,2
0xc44abffdb232befb250bc1f69e83f7c6bc2dffe1,1,1,2
0x7ae5c5c16fb5995d1c9542d4b0741bd3c1f8580c,1,1,2
0x1a49d92328d3a57689148eee9bf13e0a7145a4a0,1,1,2
0x8a5f70f1cad2883101baae59c6aa2856f64c6a55,1,1,2
0xb2fc200617ef7567c4e31a6e2f9932e974ad6072,1,1,2
0x78aa67813545830c596f8652a3aa7f34c3abd898,1,1,2
0x5bf2e0015318fb5e84e76f577f00a8d086dca7fd,1,1,2
0x9817beb7d78fb2b50040cb8dad588baa791c7a5e,1,1,2
0x56a65a5a1d3ebbb186b265184894b616b79b96ee,1,1,2
0xd102d6c18b4f12c5ca120c19fb35ba5e96d3bce5,1,1,2
0xc45630ef0ac56711567dfb9486bd3642d0757a2b,1,1,2
0xa00db4f33e152c966d3acecb2441fbb541699995,1,1,2
0x6705a20de7dd075a3d75bfb83e221c3234c771d0,1,1,2
0x4fa583ee3ceb20f8bc3cd8f9f192b58e9a50790e,1,1,2
0x3da484778533eef8c4e2338f228dc37c686c2166,1,1,2
0x7dd1a443917908041684abb6be891a25789ad490,1,1,2
0x1272ad9263807e7d6049c81597f0b9925c3b6e5d,1,1,2
0xda2a9e3f12c4af1772befe73057faec1dbe79aee,1,1,2
0x58eb386c7d1461015345be12933c156ccfdc5717,1,1,2
0x73a362fefbbd8cc97ee25f9a2473e7e798a7ff06,1,1,2
0xc16414ac1fedfdac4f8a09674d994e1bbb9d7113,1,1,2
0xe72cb9f5b712fb94bd1b8b9589c2bf80efdbae34,5,5,10
0x1874e6d4ace29272386439bf6be79017875be80e,2,1,3
0xdfb561b0eea38462a437ffe5b99f18c2bed1f661,1,1,2
0x8f6485f44c56e9a8f496e1589d27bc8256233e0d,1,2,3
0x57e5f89e0559def637cced80c71ea28ae82a7aae,2,0,2
0x5488d6ee2bf6af1bda16e23147c779cf7606a297,1,1,2
0x276d40b59063571b199fccb828126daf0cf84106,1,1,2
0xc985fbc7030a037186e874528543df06816c2985,1,1,2
0xa04b6e284416b93e90ac08b21bfa0115b78acd50,1,1,2
0x17200399f4f3d7ef40773aec553fd4aea0e2734e,1,1,2
0x0a1d19998ad8829b6944ba9d6bfd8ffd47440b79,1,1,2
0x8ebd10fe696288c6ed1e024064fdf54541aa63e0,1,1,2
0xab9d3c8e7132e80bce2968e3f745a51344b2c9c8,2,1,3
0x12f09bd87596327077f6f9d4b0d6d0f6b05f8d0e,1,1,2
0xa65d120c3f7de5e444b7410fd571bf76eea1a9aa,1,1,2
0x8ea9ba40e7c6c8cf34f40e598f6bfa436ff79421,1,1,2
0x945dd0eaca3ca61a60cf61ec7939466d673a75b0,4,1,5
0x0666cd77aa2fb137399de86accd48b1b7af8e31d,1,1,2
0x78698998a1a4d4b0d8f946e54f7c2859a64ba411,1,1,2
0xa04a27fa76cfb85437823324b198d711d1f76adb,1,1,2
0xb2b2d35e5a29556b46c53c83c11e6e2babcced55,1,1,2
0xc982dec7ef824b42b11f5e59d3cd7c5ed9b5937b,1,1,2
0x5ab97bab4f9484dece98bcbff17247c4833b3bca,1,1,2
0x1de4ca529bb830629dbbd9358afc8fb77bdd3ce0,1,1,2
0x3703ecd603825db0a6fc53d0c4d3c2a7f1cc327c,1,1,2
0xfc0b35cf12cc6a8228156f353ab56d7a949e2c1a,1,1,2
0x5ab9d116a53ef41063e3eae26a7ebe736720e9ba,2,3,5
0x31a4e449238547158a55558024e08234e574cc35,1,2,3
0xd86e2d30c60c9343ff266b052d9ee6537c21dcd7,1,1,2
0x4f30be41b60e34c242c0b776ea4995478cadbf9b,1,2,3
0x1b1f28e94cb759495af8aea0f2ea366f35e88d15,1,1,2
0x6458f999e595d3bda5692db9df011ccd4ab13a96,1,1,2
0x1413abdb070df22991e45be92e13c6381d84637f,1,1,2
